ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
818;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 116";"""127238, г. Москва, 3-й Нижнелихоборский проезд, дом  5 ""А""";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 790-47-22; (499) 488-75-41";"dss116.mskobr.ru";"gboy116@yandex.ru";"37,565776";"55,846856";"86918255";
819;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 154";"127474, г. Москва, улица Дубнинская, д. 33А";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"480-15-66";"dskv154.mskobr.ru";"gouds154@yandex.ru";"37,563561";"55,86602";"86918256";
820;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 174";"125581, г. Москва, ул Ляпидевского, дом 10 А";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"455-61-02";"dskvp174.mskobr.ru";"gou174@mail.ru";"37,499652";"55,857611";"86918257";
821;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 185";"125412, г. Москва, Коровинское шоссе, дом 21-А";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"905-73-09";"dskv185.mskobr.ru";"gou185@gmail.com";"37,522057";"55,875566";"86918258";
822;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 226";"125315, г. Москва, улица Самеда Вургуна, дом 9";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"151-58-41";"dskvp226.mskobr.ru";"dou226@gmail.com";"37,525714";"55,808398";"86918259";
823;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 244";"127411, г. Москва, Карельский бульвар, дом 24 А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"485-75-45";"ds244.mskobr.ru";"goud-s244@mail.ru";"37,538935";"55,896392";"86918260";
824;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 249";"123308, г. Москва, улица Зорге, дом 8";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 943-11-21";"ds249.mskobr.ru";"detskiysad249@rambler.ru";"37,512714";"55,781141";"86918261";
825;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 279";"127486, г. Москва, Дмитровское шосее, дом 93, корпус 2";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"488-22-44";"dss279.mskobr.ru";"gou279@mail.ru";"37,542558";"55,870523";"86918262";
826;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 281";"125412, г. Москва,  улица  Клязьминская, дом 10Б";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(499) 906-63-25; (499) 906-75-80";"dskvp281.mskobr.ru";"281zdravstvyi@mail.ru";"37,524415";"55,884366";"86918263";
827;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 287";"127434, г. Москва, Дмитровское шоссе, дом 15, корп. 3";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"977-16-10";"dskv287.mskobr.ru";"ds287@mail.ru";"37,57149";"55,818611";"86918264";
828;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 289";"125167, г. Москва, улица Константина Симонова, дом 3";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"(495) 613-85-38";"dskvp289.mskobr.ru";"ds289@mail.ru";"37,540606";"55,798629";"86918265";
829;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 309";"125008, г. Москва, ул. Большая Академическая, д. 47А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"154-43-14";"ds309.mskobr.ru";"detsad-309@yandex.ru";"37,534006";"55,836044";"86918266";
830;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 311";"125040, г. Москва, ул. Верхняя, д. 10";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 257-00-18";"dssk311.mskobr.ru";"detsad311@yandex.ru";"37,576347";"55,777869";"86918267";
831;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 317";"127206, г. Москва, улица Астрадамская, дом 11а";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 611-13-38";"ds317.mskobr.ru";"lady.sad317@yandex.ru";"37,561593";"55,814013";"86918268";
832;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2389";"129345, город Москва, Тайнинская улица, дом 15, корпус 2";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 185-16-01";"ds2389.mskobr.ru";"detsad-2389@inbox.ru";"37,684255";"55,884737";"86918269";
833;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2531";"129329, город Москва, Тенистый проезд, дом 4";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"180-11-50";"ds2531.mskobr.ru";"dou2531@yandex.ru";"37,63675";"55,859388";"86918270";
834;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2545";"129346 город  Москва, улица  Коминтерна, дом 46 А";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"184-58-54";"ds2545.mskobr.ru";"gou2545@list.ru";"37,692327";"55,871165";"86918271";
835;"Государственное бюджетное образовательное учреждение города Москвы детский сад №2577";"129337 город Москва, Ярославское шоссе дом № 118 корпус 4";"Северо-Восточный административный округ";"Ярославский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 183-52-24";"ds2577.mskobr.ru/news/";"dou2577@yandex.ru";"37,711998";"55,868726";"86918272";
836;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 2705";"129345, город Москва, улица Тайнинская,  дом 22, корпус 2";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 474-26-65";"ds2705.mskobr.ru";"dou.2705@yandex.ru";"37,689454";"55,882284";"86918273";
837;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 325";"125057, г. Москва, ул. Песчаная, д.2А";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Центр развития ребенка – детский сад";"(499) 198-20-93; (499) 198-90-29; (499) 198-90-29";"crrds325.mskobr.ru";"info@ds325.ru";"37,515696";"55,803412";"86918274";
838;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 5";"127322, город Москва, улица Фонвизина, дом  14 корпус 1";"Северо-Восточный административный округ";"Бутырский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 610-13-85; (495) 610-19-28";"ds5.mskobr.ru";"dou_ds5@mail.ru";"37,588814";"55,820136";"86918275";
839;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 341";"125008, г. Москва, бульвар Матроса Железняка, дом 32";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"154-63-71";"ds341.mskobr.ru";"irida_vesta@mail.ru";"37,532241";"55,836199";"86918276";
840;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 343";"125212, г. Москва, Ленинградское шоссе 50А";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"159-72-61";"dskv343.mskobr.ru";"detsad.343@rambler.ru";"37,486694";"55,836006";"86918277";
841;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 122";"129323, г. Москва, проезд Русанова, дом 9, корус 2";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 180-55-35";"dskv227.mskobr.ru";"dou227@yandex.ru";"37,645664";"55,854046";"86918278";
842;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 347";"125445, г. Москва, Валдайский проезд, дом 18";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(495) 457-63-91";"ds347.mskobr.ru";"gouds347@mail.ru";"37,466499";"55,871341";"86918279";
843;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 271";"129366 город Москва, улица Кибальчича, дом 3а";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 683-01-52";"dskv271.mskobr.ru";"ds271@mail.ru";"37,64216";"55,817723";"86918280";
844;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 351";"""125413, г. Москва, улица Флотская, д. 27 """"А""""""";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"453-01-92";"dss351.mskobr.ru";"gou-ds-351@mail.ru";"37,515754";"55,862512";"86918281";
845;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 384";"125183, г. Москва, улица Генерала Рычагова, дом 22а";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 153-30-84";"dss384.mskobr.ru";"romanowatamara@yandex.ru";"37,541152";"55,840926";"86918282";
846;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 385";"125284, г. Москва, улица Беговая, дом 6, корпус 1";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 945-61-57; (495) 945-61-57";"dskv385.mskobr.ru";"du385@yandex.ru";"37,556617";"55,775638";"86918283";
847;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 388";"127422, г. Москва, улица Костякова, дом 4";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 976-69-62; (499) 976-32-63; (499) 976-66-32";"ds388.mskobr.ru";"sadik388@mail.ru";"37,574753";"55,810889";"86918284";
848;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 399";"127474, г. Москва, улица Дубнинская, дом 11А";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 480-08-98; (499) 481-34-65; (499) 480-01-74; (499) 481-82-23";"dss399.mskobr.ru";"nv399@mail.ru";"37,56628";"55,859304";"86918285";
849;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 400";"127474, г. Москва, ул. Дубнинская, д. 9";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 488-34-44; (499) 487-33-73";"dsov400.mskobr.ru";"detsad400@mail.ru";"37,566256";"55,858631";"86918286";
850;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 278";"129336, город Москва, Анадырский проезд, дом 65";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"474-65-45";"dskv278.mskobr.ru";"detsad-278@Inbox.ru";"37,708416";"55,881488";"86918287";
851;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 405";"125445, г. Москва, Валдайский проезд, дом 3";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"457-73-21";"dss405.mskobr.ru";"goy405@mail.ru";"37,465666";"55,866485";"86918288";
852;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 426";"125239, г. Москва, улица Михалковская, дом 11А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 154-65-41; (499) 153-68-64";"ds298.mskobr.ru";"detsad426@yandex.ru";"37,533473";"55,835443";"86918289";
853;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 290";"127276, город Москва, улица Академика Комарова, дом 3,корпус 1";"Северо-Восточный административный округ";"район Марфино";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 619-84-94; (495) 618-26-76; (495) 618-26-79; (495) 618-19-68";"dskv290.mskobr.ru";"dou290@yandex.ru";"37,597086";"55,828484";"86918290";
854;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 430";"125581, г. Москва, улица Фестивальная, дом 26а";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"453-15-30";"ds430.mskobr.ru";"ds430@mail.ru";"37,502324";"55,859821";"86918291";
855;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 435";"127644, г. Москва, Карельский бульвар, дом 23 А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"485-12-11";"dskv435.mskobr.ru";"detsad435@yandex.ru";"37,532769";"55,89587";"86918292";
856;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 187";"125167, г. Москва, улица Степана Супруна, дом 12. корпус 1";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 612-62-72";"dskv187.mskobr.ru";"dskv.187@yandex.ru";"37,545266";"55,798151";"86918293";
857;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 507";"129329, город Москва, улица Ивовая, дом 7, корпус 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 180-32-93; (499) 180-25-91; (499) 180-65-61; (499) 181-76-82";"ds507.mskobr.ru";"ds507@mail.ru";"37,644231";"55,860732";"86918294";
858;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 594";"129282 город Москва  улица Тихомирова дом 13";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 478-17-31; (499) 476-25-38";"dskv594.mskobr.ru";"det.sad_594@mail.ru";"37,649902";"55,885911";"86918295";
859;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 449";"125195, г. Москва, улица Фестивальная, дом 35Б";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 458-17-74; (495) 459-89-26; (495) 457-15-51; (495) 459-89-27";"ds449.mskobr.ru";"yasli-sad449@yandex.ru";"37,480842";"55,859081";"86918296";
860;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 453";"125183, г. Москва, улица Генерала Рычагова, дом 7А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 154-00-21";"ds470.mskobr.ru";"dou453@mail.ru";"37,535259";"55,841551";"86918297";
861;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 457";"125319, г. Москва, улица 8 Марта, дом 15";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 152-19-26; (499) 152-15-82";"ds1042.mskobr.ru";"best.dou457@mail.ru";"37,531132";"55,803159";"86918298";
862;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 458";"125319, г. Москва, улица Коккинаки,  7";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"(499) 152-34-61";"ds458.mskobr.ru";"detsad458@gmail.com";"37,53745";"55,809162";"86918299";
863;"Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 460";"127083, г. Москва, Петровско-Разумовская аллея, дом 20";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 612-71-53";"dsso460.mskobr.ru";"supersad460@mail.ru";"37,557738";"55,797007";"86918300";
864;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 497";"125412, г. Москва, улица Базовская, дом 26 А, строение 1";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"906-31-02";"dskv497.mskobr.ru";"detsad497@yandex.ru";"37,517215";"55,880851";"86918301";
865;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 500";"125445, г. Москва, Ленинградское шоссе, дом 116А";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"457-63-21";"dskv500.mskobr.ru";"detskii_sad-500@mail.ru";"37,465108";"55,867152";"86918302";
866;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 503";"125195, г. Москва, улица Фестивальная, дом 35А";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(499) 457-23-71; (499) 458-03-25; (499) 458-02-14; (499) 458-22-65";"http://ds503.mskobr.ru/";"dir-503@mail.ru";"37,481639";"55,858567";"86918303";
867;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 696";"129346, Москва, улица Минусинская, дом 16 корпус 2";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"474-25-61";"http:/wwwdskv696.mskobr.ru";"gou696@rambler.ru";"37,693196";"55,875166";"86918304";
868;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 504";"123007, г. Москва, Хорошевское шоссе, дом 68 - А";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 941-24-63; (495) 941-30-04";"dskv504.mskobr.ru";"dsad504@rambler.ru";"37,528587";"55,779291";"86918305";
869;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 519";"127474, г. Москва, Бескудниковский бульвар, дом 23-а";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей";"487-61-03";"ds519.mskobr.ru";"sadik519@mail.ru";"37,555213";"55,867697";"86918306";
870;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 525";"127083, г. Москва, Мирской переулок, дом 9";"Северный административный округ";"Савёловский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 612-71-91";"dskv525.mskobr.ru/";"525ds@mail.ru";"37,568368";"55,800384";"86918307";
871;"Государственное бюджетное образовательное учреждение города Москвы детский сад № 533";"125008, г. Москва, бульвар Матроса Железняка, дом 4";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад";"(495) 450-77-52";"ds2012.mskobr.ru";"ds-533@yandex.ru";"37,520116";"55,829361";"86918308";
872;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 583";"125475, г. Москва, Зеленоградская улица, дом 29 А";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(495) 451-20-41";"dskv583.mskobr.ru";"detsad583@rambler.ru";"37,491363";"55,873319";"86918309";
873;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 603";"125212, г. Москва, улица Адмирала Макарова, дом 25";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 150-28-24; (499) 150-94-78";"dskv603.mskobr.ru";"ds603@yandex.ru";"37,489216";"55,832551";"86918310";
874;"Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 624";"127422, г. Москва, улица Костякова, дом 4 А";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад компенсирующего вида";"976-42-24";"dskvp624.mskobr.ru";"marinar624@rambler.ru";"37,573933";"55,811165";"86918311";
875;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 697";"129301, город Москва, улица Космонавтов, дом 14, корпус 4";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"683-10-38";"dskv697.mskobr.ru";"dou697@yandex.ru";"37,654535";"55,819914";"86918312";
876;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 711";"129128, город Москва, улица Бажова, дом 22";"Северо-Восточный административный округ";"район Ростокино";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 187-32-23; (499) 181-55-36";"dskv711.mskobr.ru";"dou711@yandex.ru";"37,664223";"55,835692";"86918313";
877;"Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 715";"127282, город Москва, улица Широкая, дом 9";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Дошкольное образовательное учреждение";"Детский сад комбинированного вида";"(499) 479-72-45";"dskv715.mskobr.ru";"det.sad_715@mail.ru";"37,65854";"55,889334";"86918314";
